driver_id,employee_id,first_name,last_name,cdl_number,cdl_state,cdl_endorsements,cdl_expiration_date,hire_date,status,home_terminal_id,phone,email,supervisor_email
f429ee7f-f592-4088-9168-959344298660,DRV-5001,Diego,Flores,UT90023800,UT,['H'],2026-11-21,2021-05-13,available,743c0ff0-e847-402c-8244-4f1429a62e75,(253) 359-3579,diego.flores@acmetrucking.com,supervisor.phoenix@acmetrucking.com
be7cc63c-4f1a-42d3-bafb-3107be5e2203,DRV-5002,Richard,Hernandez,IN75184410,IN,['T'],2029-10-26,2019-10-03,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,(652) 624-5475,richard.hernandez@acmetrucking.com,supervisor.nashville@acmetrucking.com
d8d74053-833b-4c95-b15d-1eec0a0e16dc,DRV-5003,Sarah,Anderson,FL89609131,FL,"['H', 'N']",2029-02-21,2018-03-06,available,932b0a9f-c131-45a8-834f-082694ccde46,(739) 883-6053,sarah.anderson@acmetrucking.com,supervisor.chicago@acmetrucking.com
bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,DRV-5004,William,Lewis,MO37437207,MO,['N'],2028-02-08,2015-02-01,available,a5c4021b-5488-4368-9e13-974cfc4357b2,(416) 985-3248,william.lewis@acmetrucking.com,supervisor.atlanta@acmetrucking.com
ea3acf71-4afa-4c26-a6cf-322f048b37d3,DRV-5005,Margaret,Nguyen,FL67801537,FL,[],2027-05-26,2020-07-30,available,a5c4021b-5488-4368-9e13-974cfc4357b2,(332) 589-9725,margaret.nguyen@acmetrucking.com,supervisor.atlanta@acmetrucking.com
63bd5525-9a68-4494-8d0a-584779f269f8,DRV-5006,Lisa,Howard,TN15677713,TN,['H'],2028-11-10,2019-06-15,available,932b0a9f-c131-45a8-834f-082694ccde46,(219) 670-2275,lisa.howard@acmetrucking.com,supervisor.chicago@acmetrucking.com
d1ab7986-e120-4731-8490-d0c22e4203b6,DRV-5007,Carlos,O'Brien,NJ66061934,NJ,"['H', 'N']",2028-01-14,2022-03-07,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,(317) 614-1341,carlos.o'brien@acmetrucking.com,supervisor.newark@acmetrucking.com
4c1835eb-d12e-425f-a9b1-cb6a2091152b,DRV-5008,Miguel,Perez,WA58567046,WA,['N'],2026-11-28,2024-04-30,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,(647) 308-4986,miguel.perez@acmetrucking.com,supervisor.kansascity@acmetrucking.com
7357484f-322b-4b5a-b8ff-2b079646cfb0,DRV-5009,Olga,Kim,TN51644346,TN,[],2028-04-26,2024-10-05,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,(426) 541-3754,olga.kim@acmetrucking.com,supervisor.jacksonville@acmetrucking.com
6e98b63f-0cf6-4d57-94e3-c3cb2510e638,DRV-5010,Christopher,Anderson,TN56892354,TN,['H'],2028-05-20,2025-02-27,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,(944) 860-3419,christopher.anderson@acmetrucking.com,supervisor.denver@acmetrucking.com
98e29d5f-9b28-4fcc-897c-1d0ea4bb804d,DRV-5011,Nancy,Wilson,TX90852623,TX,['N'],2027-04-10,2016-12-11,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,(978) 977-2234,nancy.wilson@acmetrucking.com,supervisor.denver@acmetrucking.com
3c590c83-bca5-46f4-a42d-930866250f50,DRV-5012,Linda,Brooks,CA70251043,CA,['N'],2029-07-31,2021-07-01,available,743c0ff0-e847-402c-8244-4f1429a62e75,(858) 850-6295,linda.brooks@acmetrucking.com,supervisor.phoenix@acmetrucking.com
38ec0472-f3c6-4166-a245-c09c228fd65b,DRV-5013,Carlos,Martin,CA94743076,CA,[],2028-02-11,2019-12-17,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,(481) 805-1920,carlos.martin@acmetrucking.com,supervisor.kansascity@acmetrucking.com
6f7e4a5d-303e-4053-b8be-f7f6a8505284,DRV-5014,Pedro,Howard,IL15047559,IL,['N'],2026-09-25,2020-01-26,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,(577) 493-2257,pedro.howard@acmetrucking.com,supervisor.kansascity@acmetrucking.com
